"bytes","date_uk","error","evidence_window_end","evidence_window_start","http_status","notes","observed_end","observed_start","output_path","published_at","query","record_count","retrieved_at_uk","retrieved_at_utc","run_ts","sha256","source_name","source_type","status","temporal_role","temporal_validity_warning","url"
"0","27/05/2026","","","","","disabled by AQ26_NEWSAPI_ENABLED","","","","","provider_disabled","0","2026-05-27T06:24:19.725029+01:00","2026-05-27T05:24:19.725029+00:00","20260527T052419Z","","NewsAPI everything","news_api","skipped","failed_or_skipped","","newsapi://disabled"
"0","27/05/2026","","","","","disabled by AQ26_NEWSDATA_ENABLED","","","","","provider_disabled","0","2026-05-27T06:24:19.725647+01:00","2026-05-27T05:24:19.725647+00:00","20260527T052419Z","","NewsData.io news","news_api","skipped","failed_or_skipped","","newsdata://disabled"
"2","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260527T052419Z.json","","Newhaven Energy Recovery Facility Veolia","0","2026-05-27T06:25:11.377658+01:00","2026-05-27T05:25:11.377658+00:00","20260527T052419Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+Energy+Recovery+Facility+Veolia&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"2","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260527T052419Z.json","","Newhaven incinerator emissions","0","2026-05-27T06:25:43.174116+01:00","2026-05-27T05:25:43.174116+00:00","20260527T052419Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+incinerator+emissions&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"1941","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260527T052419Z.json","","newhaven_incinerator","0","2026-05-27T06:25:43.846164+01:00","2026-05-27T05:25:43.846164+00:00","20260527T052419Z","e70e9bf6f72f490350dfbb160d9ae5db68bf070df8c6ee6081524066068a83b5","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.796;0.055/?token=***REDACTED***"
"511","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/05_weather/raw/openweather_current_newhaven_incinerator_20260527T052419Z.json","","newhaven_incinerator","0","2026-05-27T06:25:43.938342+01:00","2026-05-27T05:25:43.938342+00:00","20260527T052419Z","97b70ceb0ddc70551c1e90f87f7528ede01d4688e256e31fcef674fda4224aa1","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73&units=metric"
"186","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260527T052419Z.json","","newhaven_incinerator","1","2026-05-27T06:25:44.076699+01:00","2026-05-27T05:25:44.076699+00:00","20260527T052419Z","0a578705b11a9beaafcceb4afffb78d8a7169e283c9ee29fbbd1cdab003bf2c2","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73"
"1941","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/waqi_lewes_20260527T052419Z.json","","lewes","0","2026-05-27T06:25:44.734834+01:00","2026-05-27T05:25:44.734834+00:00","20260527T052419Z","e70e9bf6f72f490350dfbb160d9ae5db68bf070df8c6ee6081524066068a83b5","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.873;0.008/?token=***REDACTED***"
"507","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/05_weather/raw/openweather_current_lewes_20260527T052419Z.json","","lewes","0","2026-05-27T06:25:44.788823+01:00","2026-05-27T05:25:44.788823+00:00","20260527T052419Z","02af63394bdca8b98d36f6df83ba3e7c124c3cefa968842e5d839597cfc224b0","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73&units=metric"
"188","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/openweather_airpollution_lewes_20260527T052419Z.json","","lewes","1","2026-05-27T06:25:44.920166+01:00","2026-05-27T05:25:44.920166+00:00","20260527T052419Z","282247b813d35e3826f3f2644d1cd4e77bc30028468b31f72e57e465e913f235","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73"
"1941","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/waqi_eastbourne_20260527T052419Z.json","","eastbourne","0","2026-05-27T06:25:45.640066+01:00","2026-05-27T05:25:45.640066+00:00","20260527T052419Z","e70e9bf6f72f490350dfbb160d9ae5db68bf070df8c6ee6081524066068a83b5","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.768;0.29/?token=***REDACTED***"
"512","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/05_weather/raw/openweather_current_eastbourne_20260527T052419Z.json","","eastbourne","0","2026-05-27T06:25:45.689163+01:00","2026-05-27T05:25:45.689163+00:00","20260527T052419Z","5ddec1283827c0d2dd195e9a3e6917031436630d2d2a2f9ce0905b55dfc26e0e","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.768&lon=0.29&appid=6dd68522123c97934487c2a593566e73&units=metric"
"186","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/openweather_airpollution_eastbourne_20260527T052419Z.json","","eastbourne","1","2026-05-27T06:25:45.734985+01:00","2026-05-27T05:25:45.734985+00:00","20260527T052419Z","04d4783339d68bc93f4dd8cebf92d8d45d4ec548211f9c61398dad96bf6a8b4b","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.768&lon=0.29&appid=6dd68522123c97934487c2a593566e73"
"2010","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/waqi_brighton_20260527T052419Z.json","","brighton","0","2026-05-27T06:25:46.468153+01:00","2026-05-27T05:25:46.468153+00:00","20260527T052419Z","b9794c1322d52adec0e183b57dae2759e6d555229af4109ed4a06ea733457bca","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.822;-0.137/?token=***REDACTED***"
"512","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/05_weather/raw/openweather_current_brighton_20260527T052419Z.json","","brighton","0","2026-05-27T06:25:46.570147+01:00","2026-05-27T05:25:46.570147+00:00","20260527T052419Z","35e60a22f97aae17d7924db86d7429802bdc5b79e813f53cda4be59ed6b6b0dc","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.822&lon=-0.137&appid=6dd68522123c97934487c2a593566e73&units=metric"
"190","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/openweather_airpollution_brighton_20260527T052419Z.json","","brighton","1","2026-05-27T06:25:46.701996+01:00","2026-05-27T05:25:46.701996+00:00","20260527T052419Z","18417e2992905d7d9e3f27a1a1d503aba487d8f3b2f510f1f292f7a813d1a108","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.822&lon=-0.137&appid=6dd68522123c97934487c2a593566e73"
"1941","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/waqi_seaford_control_20260527T052419Z.json","","seaford_control","0","2026-05-27T06:25:47.379878+01:00","2026-05-27T05:25:47.379878+00:00","20260527T052419Z","e70e9bf6f72f490350dfbb160d9ae5db68bf070df8c6ee6081524066068a83b5","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.772;0.102/?token=***REDACTED***"
"510","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/05_weather/raw/openweather_current_seaford_control_20260527T052419Z.json","","seaford_control","0","2026-05-27T06:25:47.473203+01:00","2026-05-27T05:25:47.473203+00:00","20260527T052419Z","b74d52fdf9a3712014e7878568a84b3df9765198ffd1e83174ac0c60929be6cc","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.772&lon=0.102&appid=6dd68522123c97934487c2a593566e73&units=metric"
"186","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/raw/openweather_airpollution_seaford_control_20260527T052419Z.json","","seaford_control","1","2026-05-27T06:25:47.604271+01:00","2026-05-27T05:25:47.604271+00:00","20260527T052419Z","9a594865bcb907ccaf7e1f7c2ebb093ab98ceb0f800960c768dbb01c31ee44bf","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.772&lon=0.102&appid=6dd68522123c97934487c2a593566e73"
"120","27/05/2026","","","","200","apikey header; lat/lon rounded to 2dp","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/05_metoffice_datahub_weather/metoffice_land_observations_20260527T052419Z.json","","newhaven_nearest","1","2026-05-27T06:25:48.194299+01:00","2026-05-27T05:25:48.194299+00:00","20260527T052419Z","c71f52463f68e9b6af4f871aba4a696cc520326009361b2368d0bac91ee29341","Met Office DataHub land observations","weather","ok","historical_observation","","https://data.hub.api.metoffice.gov.uk/observation-land/1/nearest?lat=50.80&lon=0.06"
"22004","27/05/2026","","","","200","strict cap 1/8; no pagination","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/openaq_raw/openaq_locations_newhaven_incinerator_20260527T052419Z.json","","newhaven_incinerator","16","2026-05-27T06:25:48.471194+01:00","2026-05-27T05:25:48.471194+00:00","20260527T052419Z","421f22f9789bd02c5a0d54f5e2dbcca07447a97b91e33d0843a9ed7bd4a11dcb","OpenAQ v3 locations radius search","ground_aq","ok","historical_observation","","https://api.openaq.org/v3/locations?coordinates=50.796%2C0.055&radius=25000&limit=100"
"24426","27/05/2026","","","","200","strict cap 2/8; no pagination","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/openaq_raw/openaq_locations_lewes_20260527T052419Z.json","","lewes","18","2026-05-27T06:25:56.596290+01:00","2026-05-27T05:25:56.596290+00:00","20260527T052419Z","e33d52f23f074ce05a8d12ce347bf36bcec67267e72450a8b4783b22cd3302fe","OpenAQ v3 locations radius search","ground_aq","ok","historical_observation","","https://api.openaq.org/v3/locations?coordinates=50.873%2C0.008&radius=25000&limit=100"
"13718","27/05/2026","","","","200","strict cap 3/8; no pagination","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/openaq_raw/openaq_locations_eastbourne_20260527T052419Z.json","","eastbourne","11","2026-05-27T06:26:04.792095+01:00","2026-05-27T05:26:04.792095+00:00","20260527T052419Z","264dbac455857e3c796d56cab96817220a21d73970f334cad959d6e0d44e49f1","OpenAQ v3 locations radius search","ground_aq","ok","historical_observation","","https://api.openaq.org/v3/locations?coordinates=50.768%2C0.29&radius=25000&limit=100"
"27264","27/05/2026","","","","200","strict cap 4/8; no pagination","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/openaq_raw/openaq_locations_brighton_20260527T052419Z.json","","brighton","20","2026-05-27T06:26:13.075621+01:00","2026-05-27T05:26:13.075621+00:00","20260527T052419Z","b6126e11ba0270199752d32316cc258bdc8a169ca293af988122e9d313e254ec","OpenAQ v3 locations radius search","ground_aq","ok","historical_observation","","https://api.openaq.org/v3/locations?coordinates=50.822%2C-0.137&radius=25000&limit=100"
"20790","27/05/2026","","","","200","strict cap 5/8; no pagination","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/04_ground_aq_providers/openaq_raw/openaq_locations_seaford_control_20260527T052419Z.json","","seaford_control","15","2026-05-27T06:26:21.187603+01:00","2026-05-27T05:26:21.187603+00:00","20260527T052419Z","0dcff7beebae1f9b401364efe47dbeb1da1041c8df99e66fdac38fc63c538daf","OpenAQ v3 locations radius search","ground_aq","ok","historical_observation","","https://api.openaq.org/v3/locations?coordinates=50.772%2C0.102&radius=25000&limit=100"
"524","27/05/2026","","","","","CAMS key present; no data call attempted","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-09-09_2024-09-16/09_cams/cams_readiness.json","","readiness","1","2026-05-27T06:26:21.188356+01:00","2026-05-27T05:26:21.188356+00:00","20260527T052419Z","1837081d525047e43be99568e5ea4d88ff242682b70a489d2e3c16c7e47fffdf","CAMS readiness","atmospheric_model","ok","model_reanalysis","","cams://configured-key-no-endpoint"
