"bytes","date_uk","error","http_status","notes","output_path","query","record_count","retrieved_at_uk","retrieved_at_utc","run_ts","sha256","source_name","source_type","status","url"
"0","26/05/2026","","","disabled by AQ26_NEWSAPI_ENABLED","","provider_disabled","0","2026-05-26T15:00:41.732114+01:00","2026-05-26T14:00:41.732114+00:00","20260526T140041Z","","NewsAPI everything","news_api","skipped","newsapi://disabled"
"0","26/05/2026","","","disabled by AQ26_NEWSDATA_ENABLED","","provider_disabled","0","2026-05-26T15:00:41.732746+01:00","2026-05-26T14:00:41.732746+00:00","20260526T140041Z","","NewsData.io news","news_api","skipped","newsdata://disabled"
"433","26/05/2026","ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=Newhaven+Energy+Recovery+Facility+Veolia&mode=ArtList&format=json&maxrecords=50&sort=HybridRel+%28Caused+by+ConnectTimeoutError%28%3CHTTPSConnection%28host%3D%27api.gdeltproject.org%27%2C+port%3D443%29+at+0x7f9029c3fa50%3E%2C+%27Connection+to+api.gdeltproject.org+timed+out.+%28connect+timeout%3D35%29%27%29%29%22%29%29","","non-critical warning","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260526T140041Z.json","Newhaven Energy Recovery Facility Veolia","0","2026-05-26T15:01:16.798170+01:00","2026-05-26T14:01:16.798170+00:00","20260526T140041Z","5c03be1a81a2f6892f801be62ba3d188e036ae66881077d0054f142f0c6fab95","GDELT document API","news_api_warning","warning","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+Energy+Recovery+Facility+Veolia&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"2","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260526T140041Z.json","Newhaven incinerator emissions","0","2026-05-26T15:02:07.236641+01:00","2026-05-26T14:02:07.236641+00:00","20260526T140041Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+incinerator+emissions&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260526T140041Z.json","newhaven_incinerator","0","2026-05-26T15:02:07.852323+01:00","2026-05-26T14:02:07.852323+00:00","20260526T140041Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.796;0.055/?token=***REDACTED***"
"509","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/05_weather/raw/openweather_current_newhaven_incinerator_20260526T140041Z.json","newhaven_incinerator","0","2026-05-26T15:02:09.246084+01:00","2026-05-26T14:02:09.246084+00:00","20260526T140041Z","93765c3a7901209e9ed3189d9534ca1d50374f081cb26fd96a64d122ce71b16f","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260526T140041Z.json","newhaven_incinerator","1","2026-05-26T15:02:09.427123+01:00","2026-05-26T14:02:09.427123+00:00","20260526T140041Z","c0a7cf77aee7a0e5d50a9b745b6b7c76b8ebf78fcc2e8a8aae8101476436e629","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/04_ground_aq_providers/raw/waqi_lewes_20260526T140041Z.json","lewes","0","2026-05-26T15:02:10.050204+01:00","2026-05-26T14:02:10.050204+00:00","20260526T140041Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.873;0.008/?token=***REDACTED***"
"506","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/05_weather/raw/openweather_current_lewes_20260526T140041Z.json","lewes","0","2026-05-26T15:02:10.148378+01:00","2026-05-26T14:02:10.148378+00:00","20260526T140041Z","0f2c9626180494deaca99ebca420b15987b26657df5c078cc9f9892839172b33","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-29_2024-08-05/04_ground_aq_providers/raw/openweather_airpollution_lewes_20260526T140041Z.json","lewes","1","2026-05-26T15:02:10.336531+01:00","2026-05-26T14:02:10.336531+00:00","20260526T140041Z","83ffc4388ab6e95f88e67f742e1593932dfe6d4233cf1870b8f1b0f8f6eada9a","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73"
