"bytes","date_uk","error","http_status","notes","output_path","query","record_count","retrieved_at_uk","retrieved_at_utc","run_ts","sha256","source_name","source_type","status","url"
"0","26/05/2026","","","disabled by AQ26_NEWSAPI_ENABLED","","provider_disabled","0","2026-05-26T15:05:25.448252+01:00","2026-05-26T14:05:25.448252+00:00","20260526T140525Z","","NewsAPI everything","news_api","skipped","newsapi://disabled"
"0","26/05/2026","","","disabled by AQ26_NEWSDATA_ENABLED","","provider_disabled","0","2026-05-26T15:05:25.448917+01:00","2026-05-26T14:05:25.448917+00:00","20260526T140525Z","","NewsData.io news","news_api","skipped","newsdata://disabled"
"2","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260526T140525Z.json","Newhaven Energy Recovery Facility Veolia","0","2026-05-26T15:06:13.945995+01:00","2026-05-26T14:06:13.945995+00:00","20260526T140525Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+Energy+Recovery+Facility+Veolia&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"2","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260526T140525Z.json","Newhaven incinerator emissions","0","2026-05-26T15:06:52.438208+01:00","2026-05-26T14:06:52.438208+00:00","20260526T140525Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+incinerator+emissions&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260526T140525Z.json","newhaven_incinerator","0","2026-05-26T15:06:53.065147+01:00","2026-05-26T14:06:53.065147+00:00","20260526T140525Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.796;0.055/?token=***REDACTED***"
"509","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/05_weather/raw/openweather_current_newhaven_incinerator_20260526T140525Z.json","newhaven_incinerator","0","2026-05-26T15:06:53.155970+01:00","2026-05-26T14:06:53.155970+00:00","20260526T140525Z","93765c3a7901209e9ed3189d9534ca1d50374f081cb26fd96a64d122ce71b16f","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260526T140525Z.json","newhaven_incinerator","1","2026-05-26T15:06:53.248127+01:00","2026-05-26T14:06:53.248127+00:00","20260526T140525Z","c0a7cf77aee7a0e5d50a9b745b6b7c76b8ebf78fcc2e8a8aae8101476436e629","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/04_ground_aq_providers/raw/waqi_lewes_20260526T140525Z.json","lewes","0","2026-05-26T15:06:53.873794+01:00","2026-05-26T14:06:53.873794+00:00","20260526T140525Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.873;0.008/?token=***REDACTED***"
"506","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/05_weather/raw/openweather_current_lewes_20260526T140525Z.json","lewes","0","2026-05-26T15:06:53.969140+01:00","2026-05-26T14:06:53.969140+00:00","20260526T140525Z","0f2c9626180494deaca99ebca420b15987b26657df5c078cc9f9892839172b33","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/04_ground_aq_providers/raw/openweather_airpollution_lewes_20260526T140525Z.json","lewes","1","2026-05-26T15:06:54.053856+01:00","2026-05-26T14:06:54.053856+00:00","20260526T140525Z","83ffc4388ab6e95f88e67f742e1593932dfe6d4233cf1870b8f1b0f8f6eada9a","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/04_ground_aq_providers/raw/waqi_eastbourne_20260526T140525Z.json","eastbourne","0","2026-05-26T15:06:54.667117+01:00","2026-05-26T14:06:54.667117+00:00","20260526T140525Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.768;0.29/?token=***REDACTED***"
"491","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-08-12_2024-08-19/05_weather/raw/openweather_current_eastbourne_20260526T140525Z.json","eastbourne","0","2026-05-26T15:06:54.753103+01:00","2026-05-26T14:06:54.753103+00:00","20260526T140525Z","a2128c3a150266bb2b52bcf6036709c277071057751950f8aa1bff7dee3c356c","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.768&lon=0.29&appid=6dd68522123c97934487c2a593566e73&units=metric"
