"bytes","date_uk","error","evidence_window_end","evidence_window_start","http_status","notes","observed_end","observed_start","output_path","published_at","query","record_count","retrieved_at_uk","retrieved_at_utc","run_ts","sha256","source_name","source_type","status","temporal_role","temporal_validity_warning","url"
"0","27/05/2026","","","","","disabled by AQ26_NEWSAPI_ENABLED","","","","","provider_disabled","0","2026-05-27T19:29:37.659557+01:00","2026-05-27T18:29:37.659557+00:00","20260527T182937Z","","NewsAPI everything","news_api","skipped","failed_or_skipped","","newsapi://disabled"
"0","27/05/2026","","","","","disabled by AQ26_NEWSDATA_ENABLED","","","","","provider_disabled","0","2026-05-27T19:29:37.660199+01:00","2026-05-27T18:29:37.660199+00:00","20260527T182937Z","","NewsData.io news","news_api","skipped","failed_or_skipped","","newsdata://disabled"
"2","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260527T182937Z.json","","Newhaven Energy Recovery Facility Veolia","0","2026-05-27T19:29:51.338047+01:00","2026-05-27T18:29:51.338047+00:00","20260527T182937Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+Energy+Recovery+Facility+Veolia&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"102","27/05/2026","Please limit requests to one every 5 seconds or contact kalev.leetaru5@gmail.com for larger queries.

","","","429","non-critical warning","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260527T182937Z.json","","Newhaven incinerator emissions","0","2026-05-27T19:30:33.875344+01:00","2026-05-27T18:30:33.875344+00:00","20260527T182937Z","e97dcd299a411214ad1fa5ae3b944719c65c34a6c9f0e2aed7eafb61532b5da1","GDELT document API","news_api_warning","warning","current_context_only","current/live context only; do not interpret as historical observation","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+incinerator+emissions&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"1938","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260527T182937Z.json","","newhaven_incinerator","0","2026-05-27T19:30:34.588530+01:00","2026-05-27T18:30:34.588530+00:00","20260527T182937Z","5de31bc10a3290ef12e923490558012a42f18f5de4d6cb28bef34afb907d1fee","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.796;0.055/?token=***REDACTED***"
"509","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/05_weather/raw/openweather_current_newhaven_incinerator_20260527T182937Z.json","","newhaven_incinerator","0","2026-05-27T19:30:34.653116+01:00","2026-05-27T18:30:34.653116+00:00","20260527T182937Z","f2cc836b07fe9c1ec496bc6c0f3efd42b3641875bf0e09e61a0c9e555463d131","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73&units=metric"
"188","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260527T182937Z.json","","newhaven_incinerator","1","2026-05-27T19:30:34.786625+01:00","2026-05-27T18:30:34.786625+00:00","20260527T182937Z","8a902814c5cab8a1b12625c469845b0c55a9b65b6a78a4760986e10eb7a37918","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73"
"1938","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/raw/waqi_lewes_20260527T182937Z.json","","lewes","0","2026-05-27T19:30:35.469021+01:00","2026-05-27T18:30:35.469021+00:00","20260527T182937Z","5de31bc10a3290ef12e923490558012a42f18f5de4d6cb28bef34afb907d1fee","WAQI geospatial feed","ground_aq","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.waqi.info/feed/geo:50.873;0.008/?token=***REDACTED***"
"506","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/05_weather/raw/openweather_current_lewes_20260527T182937Z.json","","lewes","0","2026-05-27T19:30:35.521580+01:00","2026-05-27T18:30:35.521580+00:00","20260527T182937Z","6287a151dff34174e659e66439065e90c4a161e964ae5a44a6a58a976dadb310","OpenWeather current weather","weather","ok","current_context_only","current/live context only; do not interpret as historical observation","https://api.openweathermap.org/data/2.5/weather?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73&units=metric"
"188","27/05/2026","","","","200","","","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-10-07_2024-10-14/04_ground_aq_providers/raw/openweather_airpollution_lewes_20260527T182937Z.json","","lewes","1","2026-05-27T19:30:35.660917+01:00","2026-05-27T18:30:35.660917+00:00","20260527T182937Z","148e7b10e8a943e17bda74cbda119c6e3f3ee1d68d8df4457e515c3e6abac95a","OpenWeather air pollution","ground_aq","ok","historical_observation","","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73"
